date,product_id,product_name,product_category,order_date,availability_date,supplier_id,supplier_name,supplier_location,supplier_reliability,quantity_ordered,quantity_available,demand_forecast
2023-10-09,107,Microsoft Surface Pro 9,electronics,2023-06-05,2023-11-03,5,TechSource Inc.,Japan,0.9,430,315,891
2023-08-17,21,Logitech G502 Hero,electronics,2023-02-07,2023-05-13,10,GadgetPro,UK,0.77,63,1137,711
2023-04-15,122,Microsoft Surface Book 3,electronics,2024-05-29,2024-06-03,10,FutureTech,Japan,0.9,280,1007,908
2023-03-31,117,Epson EcoTank ET-2760,electronics,2023-04-13,2023-05-23,2,PremiumElectronics,UK,0.94,1816,1214,1951
2024-03-08,104,NVIDIA GeForce RTX 3080,electronics,2023-04-13,2024-07-09,9,GadgetPro,Brazil,0.9,1218,813,287
2023-02-02,131,Sony WH-1000XM5,electronics,2024-06-22,2024-12-31,4,SmartGadgets Co.,USA,0.77,940,489,1692
2023-04-06,2,Logitech G502 Hero,electronics,2023-01-16,2024-06-06,1,PremiumElectronics,Brazil,0.77,77,538,1719
2023-08-12,88,Apple iPhone 14,electronics,2023-05-28,2024-08-05,9,GadgetPro,USA,0.92,115,510,1787
2023-08-27,38,HP Elite Dragonfly,electronics,2024-02-24,2024-11-25,1,SmartGadgets Co.,India,0.96,1236,143,1084
2023-01-28,58,Logitech G Pro X,electronics,2023-03-18,2024-02-21,3,GlobalElectro Ltd.,USA,0.9,1522,370,1025
2023-07-23,89,Samsung Galaxy Buds Pro,electronics,2023-09-29,2024-04-01,2,Innovative Devices,USA,0.79,509,790,975
2024-04-04,55,Sony ZV-E10,electronics,2023-03-24,2024-03-25,8,HighTech Solutions,USA,0.75,1468,1249,262
2024-08-26,64,Samsung Galaxy Buds2,electronics,2023-12-03,2024-08-20,2,HighTech Solutions,Brazil,0.87,1083,340,1343
2023-01-07,51,LG OLED GX Series,electronics,2024-06-30,2024-10-27,7,PremiumElectronics,Germany,0.97,679,1472,731
2023-06-13,135,Acer ConceptD 7,electronics,2024-01-25,2024-03-13,8,Innovative Devices,Germany,0.95,319,435,1005
2023-06-09,89,ASUS ZenBook 14,electronics,2023-02-06,2023-12-09,1,GlobalElectro Ltd.,South Korea,0.78,911,273,1852
2023-12-11,14,LG OLED GX Series,electronics,2023-03-12,2024-10-04,10,Innovative Devices,China,0.82,1330,41,681
2023-04-15,9,Apple iPhone 14,electronics,2023-08-29,2024-04-26,9,SmartGadgets Co.,UK,0.87,182,1292,1679
2023-04-05,90,Dell G5 15 Gaming Laptop,electronics,2024-10-08,2024-12-17,6,GadgetPro,Germany,0.83,1349,590,940
2024-01-03,84,Sony WH-1000XM3,electronics,2023-08-21,2024-04-02,2,HighTech Solutions,Germany,0.93,1021,623,1819
2023-12-19,92,Bose QuietComfort 35 II,electronics,2023-04-03,2023-04-29,9,DeviceWorld,UK,0.74,562,1482,1742
2023-09-28,8,Apple Watch SE,electronics,2023-04-11,2024-04-01,1,GadgetPro,UK,0.85,625,1269,1973
2024-07-03,50,Apple iPad Air 4th Gen,electronics,2023-04-13,2024-06-30,6,DeviceWorld,USA,0.83,1194,1060,1564
2024-01-23,132,Sony WH-XB900N,electronics,2023-06-20,2024-02-20,5,GlobalElectro Ltd.,Brazil,0.78,736,102,295
2024-07-19,134,Google Pixel 6 Pro,electronics,2023-11-03,2023-12-24,6,FutureTech,UK,0.89,214,1458,1642
2023-10-28,54,Canon RF 15-35mm F2.8L IS USM,electronics,2023-01-30,2023-08-25,3,GadgetPro,South Korea,0.78,354,607,1193
2024-10-05,106,Sony FE 24-70mm F2.8 GM,electronics,2023-02-17,2023-12-18,5,HighTech Solutions,UK,0.74,1570,888,738
2024-01-06,54,Sennheiser HD 660S,electronics,2023-02-27,2023-03-30,5,FutureTech,India,1.0,1629,960,771
2024-08-14,44,Sony ZV-E10,electronics,2023-10-28,2024-06-16,5,DeviceWorld,India,0.86,1897,1259,1883
2023-07-16,14,Dyson V11 Torque Drive,electronics,2024-01-03,2024-10-20,5,GlobalElectro Ltd.,Japan,0.75,205,295,1326
2023-03-13,48,Samsung Odyssey G7,electronics,2024-03-17,2024-07-07,10,ElectroMart,Germany,0.71,1792,282,1595
2023-02-16,15,Bose QuietComfort Earbuds,electronics,2023-05-30,2024-06-16,3,GlobalElectro Ltd.,Brazil,0.97,1975,851,1778
2023-03-23,53,Asus ROG Strix,electronics,2024-08-02,2024-11-01,1,ElectroMart,South Korea,0.87,1989,862,1789
2023-04-14,124,ASUS ROG Strix Scar 17,electronics,2023-07-04,2023-09-09,4,HighTech Solutions,USA,0.95,383,365,995
2024-04-09,45,DJI Osmo Mobile 5,electronics,2023-03-22,2023-09-30,8,Innovative Devices,China,0.74,560,410,264
2023-12-30,88,Huawei MatePad Pro,electronics,2023-09-04,2024-11-12,10,HighTech Solutions,Canada,0.9,1074,1078,1254
2023-10-01,63,Fitbit Versa 3,electronics,2023-05-27,2024-10-15,6,Innovative Devices,USA,0.83,247,1445,1083
2024-12-19,81,Razer Naga X,electronics,2023-08-26,2024-05-30,3,Innovative Devices,South Korea,0.81,534,946,404
